accx_avg,accy_avg,accz_avg,gyrox_avg,gyroy_avg,gyroz_avg,magx_avg,magy_avg,magz_avg,accx_std,accy_std,accz_std,gyrox_std,gyroy_std,gyroz_std,magx_std,magy_std,magz_std,accx_max,accy_max,accz_max,gyrox_max,gyroy_max,gyroz_max,magx_max,magy_max,magz_max,accx_min,accy_min,accz_min,gyrox_min,gyroy_min,gyroz_min,magx_min,magy_min,magz_min,class
-0.673444,0.715562,0.24792,0.459114,-0.187084,0.818248,0.971717,56.8228,-77.4946,0.0203913,0.0413768,0.0150635,11.4761,8.0538,5.90387,0.49377,0.568836,0.787072,0.729858,0.804535,0.295105,22.0008,26.458,9.29143,1.8708,57.7024,78.8658,0.619263,0.632629,0.220245,0.574181,0.015488,0.176072,0.204619,55.5101,76.3227,resting
-0.661513,0.719328,0.25345,-1.74749,1.26435,1.80832,1.75653,56.5766,-75.8231,0.0129771,0.0258782,0.0107438,5.05574,3.13798,3.92287,0.34627,0.594474,0.568842,0.689423,0.77002,0.275452,11.3717,7.03299,10.9539,2.42619,57.7317,76.7904,0.637115,0.654694,0.225677,0.55668,0.155488,0.278928,1.05232,54.9547,74.335,resting
-0.66393,0.723483,0.235643,1.53615,1.01564,-0.933343,2.06833,56.573,-74.6636,0.0209496,0.0242701,0.0126475,3.65164,2.62577,3.38941,0.514117,0.422486,0.452733,0.734314,0.773926,0.263214,9.14918,8.25799,6.75607,3.24467,57.527,75.475,0.62439,0.661713,0.212799,0.714181,0.247012,0.176072,0.993861,55.7732,73.7211,resting
-0.671719,0.722128,0.211565,1.24289,-0.00890473,0.388702,1.65555,56.6678,-75.4794,0.0142531,0.0350165,0.0141526,5.97658,3.44669,4.66806,0.378936,0.486958,0.380595,0.710297,0.790009,0.241058,14.6092,8.83549,9.59107,2.36773,57.4686,76.1473,0.647705,0.650116,0.179901,0.20668,0.050488,0.0164283,0.643087,55.4516,74.6565,resting
-0.672663,0.71976,0.202495,0.865318,-0.161632,0.250293,1.64315,56.5084,-75.6256,0.012702,0.0285704,0.0128355,6.49542,3.02117,4.41702,0.371827,0.603121,0.364961,0.712738,0.803436,0.231842,17.0592,10.2355,10.7636,2.57235,57.3809,76.4396,0.647705,0.664185,0.177948,0.45832,0.015488,0.578572,0.906168,54.8962,74.7735,resting
-0.677707,0.726948,0.195805,1.26941,-0.779435,-1.03463,1.58291,56.7059,-75.6761,0.0156426,0.0365907,0.0136518,6.67993,4.33323,4.63309,0.307011,0.608304,0.347715,0.726685,0.822906,0.220123,13.1567,11.7055,10.3611,2.04619,57.4978,76.4104,0.645966,0.659363,0.16394,0.0733197,0.00201205,0.0514284,0.935399,54.8378,74.8612,resting
-0.68432,0.711344,0.187648,0.817061,0.110944,-0.24607,1.19848,57.0337,-75.8391,0.0194079,0.0326034,0.0108241,6.51187,3.90318,4.24249,0.447499,0.440132,0.407408,0.734711,0.816406,0.20929,15.5542,10.2355,9.53857,2.13388,57.7609,76.7904,0.644196,0.641663,0.161316,0.19582,0.277988,0.0689284,0.0584624,55.9193,75.0365,resting
-0.668686,0.737405,0.158851,2.04631,3.26307,-0.59343,2.25169,56.0478,-73.9683,0.0665314,0.0473081,0.0380301,13.9497,18.1529,16.8532,1.38024,0.750577,1.58502,0.826691,0.875702,0.252899,33.9358,62.3855,48.1764,4.56007,57.2055,76.3227,0.518097,0.66568,0.0856323,0.38832,0.072012,0.471429,0.0292312,54.3701,71.4119,resting
-0.695651,0.710244,0.162966,0.41403,-0.501556,0.00688355,0.667004,56.8778,-76.9091,0.0179501,0.0346886,0.0128732,6.23142,5.40941,4.74735,0.365344,0.55307,0.337826,0.751007,0.787506,0.186279,13.1742,12.7205,10.8664,1.34464,57.8778,77.5504,0.659729,0.644318,0.14209,0.36418,0.0895121,0.313928,0.0584624,55.6855,76.1766,resting
-0.697359,0.712433,0.163352,0.521152,-0.641555,-0.300693,0.612084,57.0921,-76.4591,0.0186191,0.0418628,0.0123004,6.95806,5.67658,4.98337,0.426277,0.450261,0.312905,0.758301,0.807159,0.188904,17.9342,14.7505,11.6211,1.52002,57.8486,76.9658,0.669617,0.63205,0.138092,0.12582,0.312988,0.103928,0,56.007,75.8258,resting
-0.697201,0.706753,0.163504,0.363121,-0.530723,-0.129936,0.767983,57.2259,-76.3519,0.0197514,0.0388094,0.0120157,6.53486,5.24636,4.81259,0.469758,0.598127,0.362961,0.759125,0.803101,0.180542,14.6967,14.0855,10.7286,1.75387,58.3455,77.375,0.66153,0.636078,0.134521,0.65082,0.032988,0.0885716,0,55.6855,75.6796,resting
-0.700733,0.704907,0.161636,0.975091,-0.311707,-1.03E-05,0.322429,57.0877,-76.4556,0.020681,0.0410922,0.010757,6.9906,5.98817,5.28291,0.457653,0.655162,0.382758,0.760193,0.805115,0.188171,16.5342,13.158,12.3561,1.49079,57.9947,77.1704,0.675232,0.629517,0.129089,0.0491803,0.054512,1.38143,0,55.1008,75.6504,resting
-0.699458,0.703759,0.158617,1.02812,-0.327085,-0.0737235,0.0469471,57.1975,-76.5256,0.0172368,0.0440674,0.0125542,7.33147,5.78459,5.36444,0.367074,0.578986,0.408414,0.745544,0.800446,0.189484,16.1317,14.173,10.2036,0.818474,58.1994,77.2873,0.66806,0.625519,0.136017,0.0558197,0.124512,0.0185716,0,56.1532,75.7673,resting
-0.706987,0.70096,0.157744,0.759789,-0.941176,-0.0519802,-0.201961,57.3516,-76.5902,0.0212791,0.0442798,0.0117616,6.83745,5.99565,5.04697,0.470589,0.593023,0.387669,0.75766,0.786957,0.177155,14.3642,14.138,12.2161,1.05232,58.1409,77.4335,0.655518,0.626129,0.120636,0.54582,0.107012,0.158572,0.0292312,55.6562,75.7965,resting
-0.703759,0.702483,0.158264,0.908804,-0.68557,0.333549,-0.046947,57.0992,-76.4361,0.0199605,0.0397296,0.0119125,6.93573,6.38449,5.31966,0.504965,0.618832,0.423465,0.761902,0.798767,0.187134,17.2692,13.8405,12.3911,1.28617,58.1117,77.4043,0.671753,0.636414,0.136139,0.19582,0.120488,0.173928,0,55.247,75.5627,resting
-0.706144,0.704268,0.158436,0.673879,-0.96557,-0.254028,0.186017,57.2152,-76.6115,0.0207299,0.0458348,0.0122526,7.36489,5.67155,5.62824,0.435584,0.671007,0.366631,0.764069,0.802948,0.178558,16.2717,14.3305,12.8461,0.935399,58.4332,77.5504,0.674622,0.631958,0.12854,0.49332,0.190488,0.0164284,0,55.1593,75.9135,resting
-0.705388,0.701989,0.156279,0.865319,-0.700948,0.161201,-0.0186015,57.1621,-76.5698,0.0195042,0.0408267,0.0147049,7.13185,6.71668,5.08448,0.48981,0.521518,0.38492,0.767273,0.800079,0.196991,12.5967,17.988,14.0361,1.05232,58.0824,77.112,0.675873,0.63736,0.125549,1.35082,0.067988,0.0535716,0,56.0655,75.6212,resting
-0.704933,0.703675,0.157912,0.778879,-0.621404,0.330369,0.52439,56.9203,-76.9631,0.0242072,0.03781,0.0114833,6.59434,6.15571,5.05759,0.37627,0.518976,0.366324,0.75946,0.779297,0.182159,17.0417,13.8755,9.50357,1.25694,57.907,78.0474,0.666504,0.629089,0.132965,0.82582,0.404512,0.226428,0,55.8024,76.2643,resting
-0.705143,0.700222,0.154659,0.654258,-0.835645,0.165975,0.152357,56.9238,-76.7514,0.0205176,0.0348917,0.0147183,7.1433,6.48047,4.64194,0.33935,0.537165,0.344489,0.758789,0.752747,0.186432,15.2042,15.223,9.11643,1.02309,58.1117,77.6089,0.673004,0.633087,0.119415,0.51082,0.579512,0.156428,0,56.0947,76.0596,resting
-0.706258,0.699688,0.153915,1.62047,-0.160039,-0.106601,-0.11161,56.9167,-76.638,0.0183145,0.0382181,0.0116484,6.97044,6.12376,4.62546,0.524854,0.527526,0.431165,0.767395,0.778717,0.181396,14.3292,14.348,8.69858,1.19848,57.9363,77.7843,0.679382,0.633087,0.130493,0.61582,0.050488,0.191428,0.0292312,55.8901,75.4165,resting
-0.710329,0.69652,0.147728,0.340847,-0.409283,-0.0795553,-0.279911,57.163,-76.6593,0.0170331,0.0284791,0.00918211,5.43884,3.64844,4.07172,0.454505,0.537272,0.298633,0.754791,0.754608,0.170441,11.0283,11.1805,8.89107,1.08156,58.1117,77.2289,0.670227,0.619843,0.126892,0.43418,0.107012,0.0164284,0,56.0947,76.1473,resting
-0.724754,0.685364,0.140806,1.74615,-2.41595,-0.626828,-1.14799,57.2206,-76.9711,0.0159433,0.0216721,0.0107612,5.14854,4.06911,3.2708,0.396725,0.629172,0.588523,0.765594,0.73407,0.158508,9.28918,12.5145,8.52143,1.7831,58.4624,77.8427,0.695435,0.642395,0.11618,0.10832,0.032988,0.173928,0.263081,55.4224,75.5042,resting
-0.686263,0.702277,0.218332,-0.308238,-5.9292,1.82848,0.3118,57.1036,-77.7515,0.02405,0.0313963,0.0368979,10.3972,9.27946,5.20387,0.786949,0.588157,0.575374,0.732971,0.764618,0.295105,22.0008,26.458,9.50143,1.69541,58.1701,78.8658,0.637573,0.632629,0.144257,0.22418,1.03451,0.348928,0,55.5101,76.5273,resting
-0.66671,0.720459,0.247445,-1.0671,0.931323,1.1709,1.31363,56.6855,-76.5947,0.0178631,0.0363303,0.0108581,7.83885,4.20675,5.11638,0.488917,0.531488,0.573196,0.703796,0.804535,0.269165,15.9042,12.493,9.29143,2.22157,57.4101,78.4274,0.619263,0.636597,0.225677,0.574181,0.015488,0.176072,0.263081,55.5393,75.7089,resting
-0.658715,0.723291,0.251701,-0.243547,1.96382,0.887717,2.14894,56.5146,-74.9586,0.0162333,0.0244671,0.0117268,4.06682,2.40867,3.84708,0.423669,0.542686,0.654647,0.702393,0.773926,0.275452,10.1883,8.25799,10.9539,3.24467,57.7317,76.1473,0.62439,0.662415,0.228333,0.55668,0.194512,0.211072,1.46156,54.9547,73.7211,resting
-0.672807,0.720299,0.223387,1.39297,-0.0332986,-0.130995,1.63872,56.6421,-75.1402,0.0159855,0.0304046,0.0128873,5.11093,3.23299,4.30067,0.437016,0.489516,0.471338,0.734314,0.790009,0.251221,14.6092,8.83549,9.59107,2.57235,57.527,76.0304,0.644104,0.650116,0.184143,0.34668,0.050488,0.176072,0.643087,55.4516,74.0427,resting
-0.670618,0.722791,0.203318,0.934256,-0.0698896,0.0455964,1.68301,56.6333,-75.5716,0.0141684,0.0279922,0.0110708,5.43615,2.63613,4.14839,0.341955,0.516632,0.352876,0.710297,0.781189,0.223877,12.8417,7.59299,8.34643,2.3385,57.4686,76.3812,0.647705,0.662659,0.177948,0.20668,0.015488,0.0164283,0.906168,55.2762,74.6565,resting
-0.675373,0.724064,0.201227,0.703576,-0.428904,-0.164935,1.65023,56.5518,-75.6557,0.0133182,0.0376247,0.013839,7.05245,4.25741,4.87267,0.347071,0.60589,0.40391,0.712738,0.822906,0.231842,17.0592,10.2355,10.7636,2.57235,57.3224,76.4396,0.645966,0.664185,0.16394,0.0733197,0.00201205,0.383929,0.935399,54.8378,74.7735,resting
-0.679895,0.721201,0.190825,1.13206,-0.357843,-1.08289,1.46068,56.9398,-75.7487,0.0176773,0.034624,0.0117941,7.03734,4.1851,3.98049,0.335415,0.562388,0.429302,0.734192,0.816406,0.215668,15.5542,11.7055,10.3611,2.04619,57.6732,76.7904,0.657288,0.659363,0.168945,0.33582,0.225488,0.0514284,0.643087,55.4516,74.8904,resting
-0.676134,0.720606,0.174347,-1.71991,6.33299,4.84271,1.60772,56.5668,-75.2943,0.0599594,0.0393858,0.0316401,10.5591,15.2687,13.5119,1.24553,0.684629,1.15619,0.826691,0.838318,0.210114,33.9358,62.3855,48.1764,4.50161,57.7609,76.4104,0.518097,0.641663,0.0856323,0.19582,0.229512,0.471429,0.0292312,54.9255,72.2303,resting
-0.686027,0.726313,0.142033,4.58487,-3.79527,-4.97267,1.51294,56.1018,-74.4191,0.0408198,0.0467363,0.0311405,11.1522,8.62525,8.65366,1.23616,0.697995,1.5656,0.749237,0.875702,0.252899,30.4992,28.247,32.4461,4.56007,57.2055,76.0012,0.546051,0.653351,0.109924,0.17168,0.072012,0.576429,0.0876937,54.3701,71.4119,resting
0.517235,0.66435,-0.530092,-0.696878,-0.374662,-0.83039,-15.3225,62.0357,-75.9604,0.014103,0.0300836,0.0238263,7.18794,4.19784,4.79046,0.353091,0.467651,0.443774,0.539886,0.742554,0.577148,16.3942,8.06549,12.2314,16.0187,62.8764,76.7904,0.490509,0.618195,0.494232,1.10582,0.194512,0.0514284,14.6741,60.5963,75.2119,resting
0.514686,0.663954,-0.521946,1.07108,-0.104889,-0.279481,-15.5315,61.9073,-75.8603,0.0110875,0.0300246,0.0182311,6.12178,3.48536,4.15322,0.293353,0.535385,0.443226,0.532806,0.750427,0.55603,15.7467,7.05451,11.3214,16.0772,62.7887,76.7319,0.49118,0.587646,0.489777,0.31832,0.015488,0.00107163,14.9664,61.0348,74.9196,resting
0.472777,0.724562,-0.478721,-11.3094,-6.22299,-2.966,-17.4014,61.3342,-72.1196,0.0455866,0.0628951,0.0490216,11.0977,7.0213,6.74311,1.06435,1.00642,4.17988,0.56662,0.832245,0.539856,40.2358,21.7895,22.6111,18.8834,62.7594,76.6735,0.389526,0.64975,0.397003,0.0383197,0.212012,0.316072,15.6679,58.9594,64.9225,resting
0.361122,0.875462,-0.316435,-8.30414,-16.5273,2.74749,-12.9964,56.4969,-56.7422,0.0280715,0.0383403,0.0337274,14.5196,7.31913,5.81319,2.98055,1.25675,2.6286,0.460541,0.957184,0.406921,38.5908,31.502,13.4039,18.0064,60.1286,64.2502,0.294067,0.803284,0.262726,0.696681,2.29451,0.138928,8.76937,53.9608,53.5808,resting
0.314194,0.864707,-0.3804,4.49472,-1.43966,-2.61441,-9.86952,56.7183,-56.4836,0.0273425,0.035839,0.035917,8.4836,4.62331,6.3077,0.836462,0.815005,1.37553,0.383789,0.952026,0.433228,19.8592,15.4545,20.4761,11.254,58.1994,59.0471,0.249054,0.808655,0.275848,0.37082,0.137988,0.121428,8.21397,54.9839,53.6685,resting
0.331944,0.844218,-0.42814,33.6874,30.9582,-13.5212,-14.3454,57.3136,-63.7276,0.20929,0.107638,0.101666,53.3492,85.997,43.3731,6.87542,1.08548,10.3997,1.10294,1.0639,0.698181,148.117,334.476,149.469,30.3128,60.2163,91.406,0.0170593,0.48053,0.125549,0.93082,0.032988,0.141072,9.76323,55.3639,57.3224,resting
0.727515,0.28948,-0.52416,70.8441,48.8798,-52.2582,-11.6748,17.9187,-116.6,0.200719,0.285267,0.156768,70.9515,57.969,60.4115,9.26959,17.0505,7.33911,1.12616,0.94754,0.778229,283.339,174.018,171.501,27.8574,54.6916,121.894,0.260986,0.0150146,0.161804,2.94332,1.08299,0.473572,0.380006,1.90003,93.6861,resting
0.819173,0.374474,-0.401938,-4.61589,-1.56375,-4.5023,27.4853,-9.36462,-90.7957,0.0389184,0.0611685,0.0246471,10.1048,5.2792,14.3278,0.83083,1.81242,1.62447,0.911163,0.496643,0.469635,18.8442,11.517,30.8011,29.3189,12.5694,93.2184,0.7341,0.27002,0.361847,0.20668,0.107012,0.106072,25.9573,5.55393,87.8398,standing
